epoch,utc_time,stage,base_compaction_bps,base_compaction_cost_ms,base_compaction_bytes,cumulative_compaction_bytes,base_compaction_deltas,cumulative_compaction_deltas,compaction_mem_bytes,cumulative_compaction_bps,cumulative_compaction_cost_ms,running_base,running_cumulative,wait_base,wait_cumulative,tablet_base_max_score,tablet_cumulative_max_score,process_mem_bytes,disk_read_bytes,disk_write_bytes,disk_io_time_ms,disk_avail_bytes,disk_data_used_bytes,max_disk_io_util_percent,rowset_count,cpu_idle,cpu_iowait,cpu_user,cpu_system,cpu_nice,cpu_irq,cpu_soft_irq,cpu_steal
1787905236.486999,2026-08-28T08:20:36+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905237.492078,2026-08-28T08:20:37+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905238.4971678,2026-08-28T08:20:38+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905239.5022342,2026-08-28T08:20:39+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905240.507033,2026-08-28T08:20:40+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905241.512098,2026-08-28T08:20:41+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905242.51715,2026-08-28T08:20:42+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905243.522208,2026-08-28T08:20:43+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905244.524738,2026-08-28T08:20:44+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275538600.0,2643102208.0,1204215808.0,33208.0,48639938560.0,3407012.0,0.0,136.0,4827962.0,3351.0,63297.0,21460.0,0.0,0.0,1488.0,0.0
1787905245.529794,2026-08-28T08:20:45+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905246.534869,2026-08-28T08:20:46+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905247.539941,2026-08-28T08:20:47+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905248.5450208,2026-08-28T08:20:48+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905249.550097,2026-08-28T08:20:49+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905250.555161,2026-08-28T08:20:50+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905251.5569248,2026-08-28T08:20:51+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905252.561985,2026-08-28T08:20:52+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905253.5661519,2026-08-28T08:20:53+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905254.5712352,2026-08-28T08:20:54+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905255.576279,2026-08-28T08:20:55+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905256.581352,2026-08-28T08:20:56+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905257.586457,2026-08-28T08:20:57+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905258.5895932,2026-08-28T08:20:58+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905259.591271,2026-08-28T08:20:59+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275512136.0,2643102208.0,1205809152.0,33230.0,48639938560.0,3407012.0,0.0,142.0,4839895.0,3353.0,63338.0,21481.0,0.0,0.0,1491.0,0.0
1787905260.59634,2026-08-28T08:21:00+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905261.601398,2026-08-28T08:21:01+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905262.606496,2026-08-28T08:21:02+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905263.6115499,2026-08-28T08:21:03+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905264.615893,2026-08-28T08:21:04+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905265.620972,2026-08-28T08:21:05+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905266.6260412,2026-08-28T08:21:06+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905267.6310961,2026-08-28T08:21:07+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905268.6361458,2026-08-28T08:21:08+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905269.641074,2026-08-28T08:21:09+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905270.6454809,2026-08-28T08:21:10+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
1787905271.6457548,2026-08-28T08:21:11+00:00,baseline,604306.0,460.0,3049963.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,275556120.0,2643102208.0,1205972992.0,33234.0,48639938560.0,3407012.0,0.0,142.0,4851839.0,3353.0,63381.0,21501.0,0.0,0.0,1495.0,0.0
