batch,logical_second,utc_time,label,payload_bytes,rows,latency_ms,status,loaded_rows,loaded_bytes,load_time_ms
1635,1635,2026-08-28T08:48:27+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01635,526892,31,318.308,Success,31,526892,313
1636,1636,2026-08-28T08:48:28+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01636,526341,31,321.247,Success,31,526341,316
1637,1637,2026-08-28T08:48:29+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01637,526684,31,331.679,Success,31,526684,327
1638,1638,2026-08-28T08:48:30+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01638,526849,31,335.681,Success,31,526849,331
1639,1639,2026-08-28T08:48:31+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01639,526521,31,394.583,Success,31,526521,390
1640,1640,2026-08-28T08:48:32+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01640,525985,31,327.792,Success,31,525985,323
1641,1641,2026-08-28T08:48:33+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01641,526092,31,314.251,Success,31,526092,310
1642,1642,2026-08-28T08:48:34+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01642,527369,31,370.537,Success,31,527369,365
1643,1643,2026-08-28T08:48:35+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01643,525716,31,547.158,Success,31,525716,541
1644,1644,2026-08-28T08:48:36+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01644,526364,31,431.655,Success,31,526364,431
1645,1645,2026-08-28T08:48:37+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01645,526873,31,393.298,Success,31,526873,392
1646,1646,2026-08-28T08:48:38+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01646,526717,31,376.963,Success,31,526717,375
1647,1647,2026-08-28T08:48:39+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01647,526061,31,434.383,Success,31,526061,432
1648,1648,2026-08-28T08:48:40+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01648,526435,31,356.201,Success,31,526435,353
1649,1649,2026-08-28T08:48:41+00:00,zc_cmp_full_zstd_single_bucket_20260828__5m_x7_01649,526302,31,340.424,Success,31,526302,337
