epoch,utc_time,stage,total_versions,max_versions,total_rowsets,max_rowsets,total_segments,max_segments,data_size,num_rows
1787908086.7634938,2026-08-28T09:08:06+00:00,http_log_35m_x1,16.0,16.0,16.0,16.0,16.0,16.0,281315682.0,9951.0
1787908091.7827132,2026-08-28T09:08:11+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,284213010.0,10106.0
1787908096.80425,2026-08-28T09:08:16+00:00,http_log_35m_x1,14.0,14.0,14.0,14.0,14.0,14.0,289617416.0,10261.0
1787908101.8274171,2026-08-28T09:08:21+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,293411353.0,10416.0
1787908106.851983,2026-08-28T09:08:26+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,298006042.0,10571.0
1787908111.87441,2026-08-28T09:08:31+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,302957659.0,10726.0
1787908116.8998442,2026-08-28T09:08:36+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,307776686.0,10912.0
1787908121.917645,2026-08-28T09:08:41+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,311712684.0,11067.0
1787908126.93794,2026-08-28T09:08:46+00:00,http_log_35m_x1,9.0,9.0,9.0,9.0,9.0,9.0,316327203.0,11222.0
1787908131.9593549,2026-08-28T09:08:51+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,320669298.0,11377.0
1787908136.9853718,2026-08-28T09:08:57+00:00,http_log_35m_x1,11.0,11.0,11.0,11.0,11.0,11.0,325535748.0,11532.0
1787908142.004925,2026-08-28T09:09:02+00:00,http_log_35m_x1,12.0,12.0,12.0,12.0,12.0,12.0,330122048.0,11687.0
1787908147.02613,2026-08-28T09:09:07+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,334437333.0,11842.0
1787908152.05156,2026-08-28T09:09:12+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,338149367.0,11997.0
1787908157.074066,2026-08-28T09:09:17+00:00,http_log_35m_x1,7.0,7.0,7.0,7.0,7.0,7.0,341820824.0,12152.0
1787908162.0946162,2026-08-28T09:09:22+00:00,http_log_35m_x1,8.0,8.0,8.0,8.0,8.0,8.0,346384041.0,12307.0
1787908167.110986,2026-08-28T09:09:27+00:00,http_log_35m_x1,13.0,13.0,13.0,13.0,13.0,13.0,352070133.0,12462.0
1787908172.132407,2026-08-28T09:09:32+00:00,http_log_35m_x1,10.0,10.0,10.0,10.0,10.0,10.0,355769333.0,12617.0
